35036808;Escola Antonio De Oliveira Camargo Prof;3683150;R CARLO GRAZIA ENGENHEIRO;VL UNIAO
35003049;Escola Antonio De Padua Vieira;8122210;R MAXIMIANO CORREA DOS SANTOS;JD OLIVEIRAS
35001508;Escola Antonio De Queiroz Telles Dr;3178000;R ITAQUERI;AT MOOCA
35054045;Escola Antonio De Sampaio Doria Prof (EMEF);4419140;PRACA TITO PACHECO;JARDIM MIRIAM
35055414;Escola Antonio Duarte De Almeida Prof (EMEF);8235560;TREVO DE SANTA MARIA;PARQUE GUARANI
35000620;Escola Antonio Emilio Souza Penna Prof;2729080;R CAROLINA MARIA DO CARMO;VL ALBERTINA
35070185;Escola Antonio Estanislau Do Amaral (EMEF);5874060;RUA CERDEIRA;PARQUE NOVO SANTO AMARO
35001454;Escola Antonio Firmino De Proenca Prof;3103000;R MOOCA, DA;MOOCA
35000371;Escola Antonio Jose Leite Prof;2615100;R DEZ DE MAIO;VL AMELIA
35000917;Escola Antonio Lisboa Prof;2045080;R PROFESSOR FABIO FANUCCHI;JD S PAULO
35041038;Escola Antonio Manoel Alves De Lima;5815055;R PIETRO CASELLA;JARDIM SAO JOAO
35092952;Escola Antonio Pereira Ignacio (EMEF);8474000;RUA SARA KUBITSCHECK;COHAB CASTRO ALVES
35044465;Escola Antonio Pereira Lima Dr;4889000;R JUSA, DO;PARELHEIROS
35003414;Escola Antonio Prado Conselheiro;1153000;R VITORINO CARMILO;B FUNDA
35054872;Escola Antonio Prudente Prof (EMEF);2865110;RUA MANUEL INACIO ALVARENGA;VILA PENTEADO
35248393;Escola Antonio Rodrigues De Campos Prof (EMEF);2990120;PRINCIPE;JARDIM SHANGRILA ZONA NORTE
35207676;Escola Antonio Sampaio Ver (EMEFM);2011100;RUA VOLUNTARIOS DA PATRIA;SANTANA
35054446;Escola Antonio Sant Ana Galvao Frei (EMEF);2237000;RUA GENERAL JERONIMO FURTADO;JARDIM MODELO
35046279;Escola Antonio Sylvio Da Cunha Bueno;3591020;R ANDREA FELICIANI;CJ HAB P M PAIVA
35055136;Escola Antonio Vieira Pe (EMEF);3687060;RUA ANTONINO BACAERI;JARDIM NORDESTE
35003116;Escola Apparecida Rahal Profa;8295300;R FONTOURA XAVIER;ITAQUERA
35904302;Escola Aquilino Ribeiro;8461620;R ONOFRE LEITE MEIRELLES;JD S PAULO
35924684;Escola Aracati Ii (JI);4949110;R MARCELINO LEITAO DE OLIVEIRA;JD ARACATI
35914708;Escola Araci Zebral Teixeira;8451050;R SERRA DAS ARARAS;VL YOLANDA
35002069;Escola Aracy Leme Da Veiga Ravache Profa;3908290;PC CANDIDO MENDES DE ALMEIDA;JD N CARRAO
35910788;Escola Arcangelo Sforcim;8070060;R SERRA DA MOEDA;PRQ C SUL
35004066;Escola Architiclino Santos Prof;5325200;R MAESTRO ITALO IZZO;PRQ CONTINENTAL
35003748;Escola Arcy Major;4106062;RUA DOUTOR JOSE DE QUEIROS ARANHA;VILA MARIANA
35046059;Escola Argeo Pinto Dias Eng;4857350;RUA FALCAO PEREGRINO;JARDIM MARILDA
35003918;Escola Aristides De Castro;4542000;R LEOPOLDO COUTO DE MAGALHAES JUNIOR;I BIBI
35048720;Escola Ariston De Oliveira Professor Tenente;5893000;R JOAO DA CRUZ E SOUSA;JARDIM DAS ROSAS
35037734;Escola Arlete Terezinha Pizao Profa;2471160;R RODRIGUES ALVARENGA;IMIRIM
35087142;Escola Arlindo Caetano Filho Prof (EMEF);3980050;RUA PALMEIRA BACABA;JARDIM ELBA
35040332;Escola Arlindo Pinto Da Silva Prof;8041500;R MARCION;JD LAGEADO
35001512;Escola Armando Araujo;3167060;R JUVENAL PARADA;MOOCA
35053466;Escola Armando Arruda Pereira (EMEF);4323010;RUA CORONEL LUIS DE FARIA E SOUSA;VILA DO ENCONTRO
35055591;Escola Armando Cridey Righetti (EMEF);8190000;CORDAO DE SAO FRANCISCO;VILA AIMORE
35055049;Escola Armando De Salles Oliveira (EMEF);3983080;MILTON DA CRUZ;JARDIM PLANALTO
35002926;Escola Armando Gomes De Araujo Prof;8110220;R ALFREDO MOREIRA PINTO;VL SIMONE
35001302;Escola Arnaldo Barreto;2370020;R ANTONIO PESTANA;TREMEMBE
35046346;Escola Arnaldo Laurindo Prof;5822000;RUA ALTINO ALVES DE ABREU;PRQ S ANTONIO
35053557;Escola Aroldo De Azevedo Prof (EMEF);2557120;RUA FRANCISCO AUGUSTO LOPES;VILA BARBOSA
35001752;Escola Aroldo De Azevedo Prof;3984020;R FILIPA ALVARES;JD PLANALTO
35054793;Escola Arthur Alvim (EMEF);3567000;RUA DESEMBARGADOR ROCHA PORTELA;ARTUR ALVIM
35054355;Escola Arthur Azevedo (EMEF);3065025;BUTUI;TATUAPE
35902809;Escola Arthur Chagas Junior Prof;3928235;R FRANCESCO USPER;CJ HAB T VILELA
35003487;Escola Arthur Guimaraes;1224000;R JAGUARIBE;VL BUARQUE
35053156;Escola Arthur Whitaker Des (EMEF);5626000;RUA ANDRE SARAIVA;VILA SONIA
35038180;Escola Arthur Wolff Netto Prof;4326010;R AZOR SILVA;VL FACHINI
35055207;Escola Artur Neiva (EMEF);8420130;AVENIDA NOSSA SENHORA DE GUADALUPE;JARDIM HELENA
35004844;Escola Artur Saboia;4296100;R TAQUARICHIM;VL VERA
35000310;Escola Ary Barroso;2533010;R SANTA EUDOXIA;PRQ PERUCHE
35054720;Escola Ary Gomes Cel (EMEF);2166100;RUA BENEDITO ALESSIO;JARDIM ANDARAI
35053454;Escola Ary Parreiras Alm (EMEF);4351050;RUA IPAOBI;CIDADE LEONOR
35003098;Escola Ascanio De Azevedo Castilho Prof;8280005;AV LIDER;C LIDER
35098668;Escola Assad Abdala (EMEF);3524030;MENDONCA DRUMOND;JARDIM MARINGA
35035646;Escola Assis Chateaubriand;4434110;R ARMANDO GONZAGA;JD M LUIZA
35906141;Escola Assis Jose Ambrosio;2676010;RUA ALFARROBEIRAS;JARDIM PERI
